name,position,nba_team,status,ownership
Cole Anthony,"PG,G,Util",-,,5%
Isaiah Stewart,"C,Util",-,,3%
Josh Green,"SG,G,SF,F,Util,IL,IL+",-,INJ,0
Saddiq Bey,"SF,PF,F,Util",-,,1%
Zeke Nnaji,"PF,F,C,Util",-,,0
Xavier Tillman,"PF,F,C,Util",-,,0
Vít Krejčí,"SG,G,SF,F,Util",-,,0
Tre Jones,"PG,SG,G,Util",-,,8%
Nick Richards,"C,Util",-,,2%
Isaiah Joe,"SG,G,Util,IL,IL+",-,INJ,2%
Paul Reed,"C,Util",-,,0
Sam Merrill,"SG,G,SF,F,Util",-,,2%
Jae'Sean Tate,"SF,PF,F,Util,IL,IL+",-,INJ,0
Anthony Gill,"PF,F,Util",-,,0
Naji Marshall,"SF,PF,F,Util",-,,2%
Davion Mitchell,"PG,G,Util",-,,22%
Ziaire Williams,"SG,G,SF,F,Util",-,,1%
Moses Moody,"SG,G,SF,F,Util,IL,IL+",-,INJ,4%
Corey Kispert,"SF,PF,F,Util",-,,1%
Tre Mann,"PG,SG,G,Util",-,,1%
Isaiah Jackson,"C,Util",-,,15%
Quentin Grimes,"SG,G,SF,F,Util",-,,29%
Bones Hyland,"PG,G,Util",-,,0
Jaden Springer,"SG,G,Util",-,,0
Day'Ron Sharpe,"C,Util",-,,3%
Miles McBride,"PG,SG,G,Util",-,,3%
Ayo Dosunmu,"SG,G,SF,F,Util",-,,22%
Neemias Queta,"PF,F,C,Util",-,,21%
Isaiah Livers,"SF,PF,F,Util",-,,0
Sharife Cooper,"PG,G,Util",-,,0
Luka Garza,"C,Util,IL+",-,O,1%
Sandro Mamukelashvili,"PF,F,C,Util",-,,0
Aaron Wiggins,"SG,G,SF,F,Util",-,,9%
Jericho Sims,"C,Util",-,,0
A.J. Lawson,"SG,G,SF,F,Util",-,,0
Trendon Watford,"PF,F,C,Util,IL,IL+",-,INJ,0
Jose Alvarado,"PG,G,Util",-,,1%
Jock Landale,"C,Util",-,,1%
Jordan Goodwin,"PG,SG,G,Util",-,,0
Jay Huff,"C,Util",-,,12%
Sam Hauser,"SF,PF,F,Util",-,,21%
Justin Champagnie,"SF,PF,F,Util",-,,1%
Dru Smith,"PG,SG,G,Util",-,,0
Brandon Williams,"PG,G,Util",-,,0
Lindy Waters III,"SG,G,SF,F,Util,IL,IL+",-,INJ,0
Ousmane Dieng,"PF,F,C,Util",-,,0
Ochai Agbaji,"SG,G,SF,F,Util",-,,1%
Dalen Terry,"SG,G,SF,F,Util",-,,0
Jake LaRavia,"SF,PF,F,Util",-,,2%
Malaki Branham,"SG,G,SF,F,Util",-,,0
Blake Wesley,"PG,SG,G,Util",-,,0
Nikola Jović,"PF,F,Util",-,,28%
Peyton Watson,"SF,PF,F,Util",-,,3%
Caleb Houstan,"SG,G,SF,F,Util",-,,0
Christian Koloko,"C,Util",-,,0
Jaylin Williams,"PF,F,C,Util",-,,2%
Max Christie,"SG,G,SF,F,Util",-,,2%
Jaden Hardy,"PG,SG,G,Util",-,,0
Bryce McGowens,"PG,SG,G,Util",-,,0
E.J. Liddell,"PF,F,C,Util",-,,0
Moussa Diabaté,"C,Util",-,,11%
Ryan Rollins,"PG,G,Util",-,,1%
Josh Minott,"SF,PF,F,Util",-,,1%
Vince Williams Jr.,"SG,G,SF,F,Util,IL,IL+",-,INJ,0
Tyrese Martin,"PG,SG,G,SF,F,Util",-,,0
Karlo Matković,"PF,F,C,Util,IL,IL+",-,INJ,0
JD Davison,"PG,SG,G,Util",-,,0
Gui Santos,"SF,PF,F,Util",-,,0
Luke Travers,"SF,F,Util",-,,0
Jabari Walker,"PF,F,C,Util",-,,0
Collin Gillespie,"PG,G,Util",-,,0
Keon Ellis,"PG,SG,G,Util",-,,16%
Julian Champagnie,"SG,G,SF,F,Util",-,,2%
