fantasy_team,player_name,position,nba_team,status
Olamide's Swag Team,Michael Porter Jr.,"SF,PF,F,Util",-,
Olamide's Swag Team,Onyeka Okongwu,"C,Util",-,
Olamide's Swag Team,Shai Gilgeous-Alexander,"PG,G,Util",-,
Olamide's Swag Team,Brandin Podziemski,"PG,SG,G,Util",-,
Olamide's Swag Team,Chet Holmgren,"PF,F,C,Util",-,
Liyi's Lucky Lads,Trae Young,"PG,G,Util",-,
Liyi's Lucky Lads,Andrew Wiggins,"SG,G,SF,F,Util",-,
Liyi's Lucky Lads,Dyson Daniels,"PG,SG,G,SF,F,Util",-,
Liyi's Lucky Lads,Brandon Miller,"SF,PF,F,Util",-,
Liyi's Lucky Lads,Giannis Antetokounmpo,"PF,F,C,Util",-,
Liyi's Lucky Lads,Pascal Siakam,"PF,F,C,Util",-,
Liyi's Lucky Lads,Julius Randle,"PF,F,C,Util",-,
Liyi's Lucky Lads,Nic Claxton,"C,Util",-,
Liyi's Lucky Lads,RJ Barrett,"SF,PF,F,Util",-,
Liyi's Lucky Lads,Gary Trent Jr.,"SG,G,SF,F,Util",-,
Liyi's Lucky Lads,Bennedict Mathurin,"SG,G,SF,F,Util",-,
Liyi's Lucky Lads,Jamal Murray,"PG,SG,G,Util",-,
Liyi's Lucky Lads,Isaiah Hartenstein,"C,Util",-,
Zubia's Cool Team,Tyrese Maxey,"PG,G,Util",-,
Zubia's Cool Team,Jaylen Brown,"SG,G,SF,F,Util",-,
Zubia's Cool Team,Jalen Suggs,"PG,G,Util",-,
Zubia's Cool Team,Kawhi Leonard,"SF,PF,F,Util",-,
Zubia's Cool Team,Bobby Portis,"PF,F,C,Util",-,
Zubia's Cool Team,DeMar DeRozan,"SF,F,Util",-,
Zubia's Cool Team,Victor Wembanyama,"C,Util",-,
Zubia's Cool Team,Jalen Duren,"C,Util",-,
Zubia's Cool Team,Immanuel Quickley,"PG,SG,G,Util",-,
Zubia's Cool Team,Jordan Poole,"PG,SG,G,Util",-,
Zubia's Cool Team,Austin Reaves,"PG,SG,G,Util",-,
Zubia's Cool Team,Bradley Beal,"SG,G,SF,F,Util",-,
Zubia's Cool Team,Keegan Murray,"SF,PF,F,Util,IL,IL+",-,INJ
nathan's Grand Team,Anthony Edwards,"PG,SG,G,Util",-,
nathan's Grand Team,Desmond Bane,"SG,G,SF,F,Util",-,
nathan's Grand Team,Darius Garland,"PG,G,Util,IL,IL+",-,INJ
nathan's Grand Team,Jalen Williams,"SF,PF,F,Util,IL,IL+",-,INJ
nathan's Grand Team,LeBron James,"SF,PF,F,Util,IL,IL+",-,INJ
nathan's Grand Team,Paul George,"SG,G,SF,PF,F,Util,IL,IL+",-,INJ
nathan's Grand Team,Domantas Sabonis,"C,Util,IL,IL+",-,INJ
nathan's Grand Team,Walker Kessler,"C,Util",-,
nathan's Grand Team,Mark Williams,"C,Util",-,
nathan's Grand Team,Cameron Johnson,"SF,PF,F,Util",-,
nathan's Grand Team,Jrue Holiday,"PG,SG,G,Util",-,
nathan's Grand Team,Kevin Porter Jr.,"PG,SG,G,Util,IL+",-,GTD
nathan's Grand Team,Zach Edey,"C,Util,IL,IL+",-,INJ
